A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
-1451225477,-1502347396, 2, 0,-1610609032,1,1,1
 1115087137,-2142889420, 2, 0,    4587552,1,1,0
  734055656,-1272154349, 2, 0,  536888320,1,1,0
  -78822347,  439062458, 2, 0,  436798512,1,0,0
-1738485097,-1754696538, 2, 0,-1872736122,1,1,1
  411094400,  947974654, 2, 0,  411091328,1,0,0
  635987470,   79189128, 2, 0,   78136328,1,0,0
 2129255868,-2129958839, 2, 0,     608264,1,1,0
 -281280243,  529568492, 2, 0,  252706828,1,0,0
 -825937578,  899585336, 2, 0,   75763984,1,0,0
 1617647765, -806926761, 2, 0, 1080246293,1,0,0
  440025568, 1828043231, 2, 0,  137363904,1,0,1
 1571969600, -529256689, 2, 0, 1076890112,1,0,0
-1705367045, 1824894806, 2, 0,  138422610,1,0,0
-1531079743, -512470588, 2, 0,-1607200320,1,1,0
-1086212495, -889434440, 2, 0,-1975515600,1,1,0
 -605399730, 1600386607, 2, 0, 1533170702,1,0,0
 1168600398,  667190796, 2, 0,   92537868,1,0,0
-1290959903,-1883419147, 2, 0,-2096299551,1,1,1
 1170604524, 2036223368, 2, 0, 1095106952,1,0,1
 -372446269, -555703054, 2, 0, -926900030,1,1,0
-1790916362,-1846697092, 2, 0,-1858043788,1,1,1
 2071649234,-1612397443, 2, 0,  459325520,1,0,0
-1866900049, 1909544082, 2, 0,  277959810,1,0,0
  168944652,-1023205610, 2, 0,   33620996,1,1,0
-1907716938, -302177527, 2, 0,-1941438464,1,1,1
  724857522,-1964854365, 2, 0,  169882274,1,1,0
-1825024827, 1777792086, 2, 0,   19944516,1,1,0
-1317462844,-1563543226, 2, 0,-1605887932,1,1,1
 -841912325,  285755230, 2, 0,   16795482,1,1,0
 1979185286, 2113691499, 2, 0, 1978947586,1,0,1
  797973478, -528069794, 2, 0,  545262406,1,0,0
-1386976940, 1936309870, 2, 0,  557852740,1,0,0
 1431513125, -536677802, 2, 0, 1073881092,1,0,0
 1911495198, -287556841, 2, 0, 1623988758,1,0,0
 1262320714,-1853333871, 2, 0,   17325056,1,1,0
   76594330, 1995277164, 2, 0,   75530248,1,0,0
-1988935947, -729578303, 2, 0,-2147285823,1,1,1
 -412844899,  324965798, 2, 0,   54793348,1,1,0
  972814224, 1263892501, 2, 0,  156332048,1,0,1
 1300997869, 1067142498, 2, 0,  227214432,1,0,1
   -7699013,-1866529424, 2, 0,-1870002896,1,1,0
 -148971562,  657161756, 2, 0,  654990868,1,0,0
 1166692131, 1958548434, 2, 0, 1149764354,1,0,1
  164079484,  128216656, 2, 0,   25437776,1,0,0
  551126915,  312159101, 2, 0,   10027777,1,0,0
-1471734560, 1284540894, 2, 0,  134219968,1,1,0
  444547154, -427102518, 2, 0,   34226242,1,0,0
 1752026375,-1705474700, 2, 0,  138970372,1,0,0
-1097729228, 1280280876, 2, 0,  201427236,1,0,0
