A,B,Opcode,Shift_Amount,Result,isNE,isLT,Overflow
-1284511104,-2003272907,1,15,718761803,1,0,0
-372961297,730815647,1,6,-1103776944,1,1,0
-1657873814,-2100051288,1,5,442177474,1,0,0
1401669752,1439237788,1,14,-37568036,1,1,0
625480337,-2052623618,1,20,2678103955,1,0,1
-513314378,1879611568,1,17,-2392925946,1,1,1
-748437441,-60389607,1,4,-688047834,1,1,0
1087425221,629032114,1,8,458393107,1,0,0
-1583525192,1727312614,1,7,-3310837806,1,1,1
-61671353,-1570978027,1,13,1509306674,1,0,0
678901454,191242909,1,26,487658545,1,0,0
-735878860,-1565274870,1,21,829396010,1,0,0
1494848306,-288497612,1,27,1783345918,1,0,0
1450419256,-1016181453,1,17,2466600709,1,0,1
-2061257690,-784128895,1,9,-1277128795,1,1,0
2105390169,188049988,1,4,1917340181,1,0,0
943297202,1992075936,1,28,-1048778734,1,1,0
537363274,-967648483,1,24,1505011757,1,0,0
1266656014,-1648606078,1,21,2915262092,1,0,1
-1092931945,119908933,1,6,-1212840878,1,1,0
1016202016,905616981,1,29,110585035,1,0,0
1533466266,1985751731,1,12,-452285465,1,1,0
50304976,1258825873,1,22,-1208520897,1,1,0
-1251928129,1216618558,1,31,-2468546687,1,1,1
-282805815,-2110238532,1,22,1827432717,1,0,0
-1972887233,485230975,1,15,-2458118208,1,1,1
-1206881226,2096350273,1,8,-3303231499,1,1,1
-1048199489,873426464,1,13,-1921625953,1,1,0
-1349227831,-344144242,1,5,-1005083589,1,1,0
-2001841429,-1580664259,1,26,-421177170,1,1,0
1584339548,1153701117,1,13,430638431,1,0,0
1108458549,-1421719247,1,25,2530177796,1,0,1
-187911982,-1045194981,1,11,857282999,1,0,0
-2006277176,-795273121,1,6,-1211004055,1,1,0
-1991910865,-13930151,1,29,-1977980714,1,1,0
-1426604204,-2128562784,1,17,701958580,1,0,0
-1310558142,2100995590,1,26,-3411553732,1,1,1
1419242558,-1967859147,1,31,3387101705,1,0,1
584449533,-982933893,1,12,1567383426,1,0,0
-1192501154,436602339,1,16,-1629103493,1,1,0
-1097503938,239070155,1,21,-1336574093,1,1,0
1131866604,-1553039995,1,5,2684906599,1,0,1
1964730148,-477213220,1,5,2441943368,1,0,1
1724969913,-1600798518,1,5,3325768431,1,0,1
-812448084,2007356677,1,27,-2819804761,1,1,1
545809243,251434702,1,14,294374541,1,0,0
-540130257,-643253105,1,20,103122848,1,0,0
-1799747356,635031805,1,14,-2434779161,1,1,1
-533136307,-926748990,1,27,393612683,1,0,0
1254705929,-1029465918,1,27,2284171847,1,0,1
