A,B,Opcode,Shift_Amount,Result,isNE,isLT,Overflow
1115901272,-1143259895,3,0,-69501607,1,0,0
-1445894833,-1349514482,3,0,-1345228977,1,1,0
-416687470,526463707,3,0,-9831717,1,1,0
704693228,473319424,3,0,1043778540,1,0,0
1341180487,836615418,3,0,2147352319,1,0,0
1857617432,-2094652542,3,0,-272695398,1,0,0
-564871450,-1703113588,3,0,-562250002,1,0,0
2142279177,1140058037,3,0,2146695101,1,0,0
939195736,1683199083,3,0,2013003131,1,1,0
388016624,-381695453,3,0,-12588045,1,0,0
30645702,1017141618,3,0,1039392246,1,1,0
-1117123683,1031012751,3,0,-1115812961,1,1,0
1669317557,-1901507210,3,0,-268447753,1,0,0
431109186,-217775298,3,0,-71878786,1,0,0
-413544570,-538625938,3,0,-131090,1,0,0
1184922310,544269507,3,0,1727069895,1,0,0
-1000003684,-1147056939,3,0,-1740835,1,0,0
1844523542,1867461358,3,0,1878995710,1,1,0
254392001,-1452360631,3,0,-1351631159,1,0,0
-1211166568,777412741,3,0,-1075875683,1,1,0
1747490035,-1960031317,3,0,-349380613,1,0,0
-205931340,69666215,3,0,-138429001,1,1,0
120373006,9651718,3,0,130023182,1,0,0
-1257548856,674573720,3,0,-1119911976,1,1,0
1235000489,-670299427,3,0,-644047107,1,0,0
1986294140,-2026766627,3,0,-143261699,1,0,0
-18895542,-493213324,3,0,-18895490,1,0,0
321280839,-1750601425,3,0,-1750598801,1,0,0
630588055,2140006205,3,0,2141185983,1,1,0
-926059712,770592089,3,0,-303071399,1,1,0
196926336,726729108,3,0,738057108,1,1,0
1483001037,-984733161,3,0,-579932449,1,0,0
1782071931,-1346030177,3,0,-268601345,1,0,0
2039682733,-589592173,3,0,-35938369,1,0,0
-24946221,1786120265,3,0,-17344037,1,1,0
-278597801,-541856031,3,0,-528393,1,0,0
-1175005103,-946144126,3,0,-66349,1,1,0
1197488152,-2007391533,3,0,-814105893,1,0,0
-1395613102,1497007793,3,0,-33904909,1,1,0
589403958,33413345,3,0,603840503,1,0,0
-1091415895,-1901492027,3,0,-1090791187,1,0,0
405276597,-1972660656,3,0,-1704224779,1,0,0
1419328004,1311345134,3,0,1589230574,1,0,0
-1869779037,711771195,3,0,-1158811717,1,1,0
-156209098,1243672258,3,0,-21954826,1,1,0
-531649791,-1097704198,3,0,-18874373,1,0,0
-412728905,1633777813,3,0,-412649033,1,1,0
-1883111336,797400310,3,0,-1345889026,1,1,0
1974392849,140019366,3,0,2113855159,1,0,0
2066345566,630127646,3,0,2142240350,1,0,0
