A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
-1665789572,  531441756, 4,14,-2074148864,1,1,0
 1763336099,-1188956976, 4,15,  802258944,1,0,0
  605999649, -317123570, 4,25, 1107296256,1,0,0
  192509286,  222928823, 4,15,-1162674176,1,0,0
 1528576498, 1669150947, 4,21, 1044381696,1,0,1
-2039593027, 1722202432, 4,17,-1887830016,1,1,0
 1730232428,  -12111276, 4, 1, -834502440,1,0,0
 1832697778, -365271106, 4,13,-1745469440,1,0,0
 1271860059,-1148167145, 4, 5, 2044816224,1,0,0
 1406104799,   -6746501, 4,19,-1493696512,1,0,0
 1421143083,-1625382632, 4,18,-1330905088,1,1,0
 -881232709,  324380550, 4,30,-1073741824,1,1,0
-1329654499,  913146452, 4,19,-1461190656,1,1,0
  938559505,-1937788937, 4,24,  285212672,1,1,0
 1134057789, 1891044209, 4, 0, 1134057789,1,0,1
 1720285204, -285450245, 4, 2,-1708793776,1,0,0
 1861924967,  521520851, 4,17, 1892548608,1,0,1
-1927798213,-1406895503, 4,24,  989855744,1,1,1
 -119007503,  632922970, 4,28,  268435456,1,0,0
 -322254892,-1115883077, 4,29,-2147483648,1,1,0
  317035082, 1560928605, 4,28,-1610612736,1,0,0
  740626316,  773708995, 4,14, 1138950144,1,0,0
 1657999317,  242234197, 4,12,  821907456,1,0,0
 1681936187,-1848028455, 4,19, 2044198912,1,1,0
  784158122,-1505940151, 4, 3, 1978297680,1,1,0
-1250691313, -843459082, 4,24,  251658240,1,1,0
-1576219223,   -7271852, 4,28,-1879048192,1,1,0
-1194120879,  776998667, 4, 9,-1504534016,1,1,0
 1914024135, -145955897, 4,30,-1073741824,1,0,0
 -690866982, -463482482, 4,21,-1690304512,1,1,0
 -759638813, -276087085, 4, 4,  730680880,1,1,0
 -721526347,  389101375, 4,14,-1737670656,1,1,0
-1577969798,-1862706406, 4,29, 1073741824,1,1,1
-1083967155,  577392874, 4,21,  698351616,1,1,0
-1939097342,  644769183, 4,31,          0,1,1,0
  251277187,-1044910093, 4, 9, -195099136,1,1,0
-1324816836, 2079926084, 4,10,  597225472,1,0,0
-1414279367,  293027523, 4, 5, 1987700512,1,1,0
  178654158, 1540205599, 4,17,  396099584,1,0,0
-1916376257,-1279213883, 4,18,-1392771072,1,1,1
-1795981935,  228163556, 4,26, 1140850688,1,1,0
  667035724, -316884470, 4,24, 1275068416,1,0,0
 1286189836,-2067966407, 4,25,  402653184,1,1,0
-1163767557,-1591700547, 4,10,-1992037376,1,1,1
-1175113272, 1679160402, 4,18, -954204160,1,0,0
-1362171698,-1217872706, 4,26,  939524096,1,1,1
  -30889537,  756792987, 4,26,  -67108864,1,0,0
-1924016601,  586411967, 4,23,  327155712,1,1,0
-1967941805,-1429843046, 4, 1,  359083686,1,1,1
 -897592955, 1590765527, 4, 6,-1611374272,1,0,0
