A,B,Opcode,Shift_Amount,Result,isNE,isLT,Overflow
-1665789572,531441756,4,14,2220818432,1,1,0
1763336099,-1188956976,4,15,802258944,1,0,0
605999649,-317123570,4,25,1107296256,1,0,0
192509286,222928823,4,15,3132293120,1,1,0
1528576498,1669150947,4,21,1044381696,1,1,0
-2039593027,1722202432,4,17,2407137280,1,1,0
1730232428,-12111276,4,1,3460464856,1,0,0
1832697778,-365271106,4,13,2549497856,1,0,0
1271860059,-1148167145,4,5,2044816224,1,0,0
1406104799,-6746501,4,19,2801270784,1,0,0
1421143083,-1625382632,4,18,2964062208,1,0,0
-881232709,324380550,4,30,3221225472,1,1,0
-1329654499,913146452,4,19,2833776640,1,1,0
938559505,-1937788937,4,24,285212672,1,0,0
1134057789,1891044209,4,0,1134057789,1,1,0
1720285204,-285450245,4,2,2586173520,1,0,0
1861924967,521520851,4,17,1892548608,1,0,0
-1927798213,-1406895503,4,24,989855744,1,1,0
-119007503,632922970,4,28,268435456,1,1,0
-322254892,-1115883077,4,29,2147483648,1,0,0
317035082,1560928605,4,28,2684354560,1,1,0
740626316,773708995,4,14,1138950144,1,1,0
1657999317,242234197,4,12,821907456,1,0,0
1681936187,-1848028455,4,19,2044198912,1,0,0
784158122,-1505940151,4,3,1978297680,1,0,0
-1250691313,-843459082,4,24,251658240,1,1,0
-1576219223,-7271852,4,28,2415919104,1,1,0
-1194120879,776998667,4,9,2790433280,1,1,0
1914024135,-145955897,4,30,3221225472,1,0,0
-690866982,-463482482,4,21,2604662784,1,1,0
-759638813,-276087085,4,4,730680880,1,1,0
-721526347,389101375,4,14,2557296640,1,1,0
-1577969798,-1862706406,4,29,1073741824,1,0,0
-1083967155,577392874,4,21,698351616,1,1,0
-1939097342,644769183,4,31,0,1,1,0
251277187,-1044910093,4,9,4099868160,1,0,0
-1324816836,2079926084,4,10,597225472,1,1,0
-1414279367,293027523,4,5,1987700512,1,1,0
178654158,1540205599,4,17,396099584,1,1,0
-1916376257,-1279213883,4,18,2902196224,1,1,0
-1795981935,228163556,4,26,1140850688,1,1,0
667035724,-316884470,4,24,1275068416,1,0,0
1286189836,-2067966407,4,25,402653184,1,0,0
-1163767557,-1591700547,4,10,2302929920,1,0,0
-1175113272,1679160402,4,18,3340763136,1,1,0
-1362171698,-1217872706,4,26,939524096,1,1,0
-30889537,756792987,4,26,4227858432,1,1,0
-1924016601,586411967,4,23,327155712,1,1,0
-1967941805,-1429843046,4,1,359083686,1,1,0
-897592955,1590765527,4,6,2683593024,1,1,0
